"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (PKR)",Impressions,Reach,Ends,"Attribution setting"
2026-03-22,2026-04-20,"1st Awareness Add",inactive,21037,reach,24.28910966,"Using ad set budget",0,510.97,23323,21037,Ongoing,"7-day click or 1-day view"
2026-03-22,2026-04-20,"1st Lead Add MA sons",inactive,,,,"Using ad set budget",0,5.74,14,14,Ongoing,"7-day click or 1-day view"
